Term	Index	Ancestors
GO:0008150	0	
GO:0000003	1	0
GO:0002376	2	0
GO:0008152	3	0
GO:0009987	4	0
GO:0016032	5	0
GO:0022414	6	0
GO:0023052	7	0
GO:0032501	8	0
GO:0032502	9	0
GO:0040007	10	0
GO:0040011	11	0
GO:0043473	12	0
GO:0044419	13	0
GO:0044848	14	0
GO:0048511	15	0
GO:0050896	16	0
GO:0051179	17	0
GO:0051703	18	0
GO:0065007	19	0
GO:0098754	20	0
GO:0110148	21	0
GO:0019953	22	0 1
GO:0019954	23	0 1
GO:0032504	24	0 1 8
GO:0032505	25	0 1
GO:0075325	26	0 1
GO:1990277	27	0 1
GO:0001776	28	0 2 19 412 2517 7122
GO:0002200	29	0 2
GO:0002252	30	0 2
GO:0002253	31	0 2 19 410 2471 2481 2483 6635 6644 6743 11880
GO:0002262	32	0 2 19 412 2517 7122
GO:0002339	33	0 2
GO:0002404	34	0 2
GO:0002440	35	0 2 3 65 738 3613
GO:0002507	36	0 2
GO:0002520	37	0 2 9 351 2108
GO:0006955	38	0 2 16
GO:0019882	39	0 2
GO:0031294	40	0 2 19 410 2471 2481 2486 6635 6637 6741 6929 11872 11893 12387 17690
GO:0035172	41	0 2 4 90
GO:0042386	42	0 2 4 9 110 1086
GO:0045058	43	0 2
GO:0045321	44	0 2 4 74
GO:0050900	45	0 2 4 111 1098
GO:0090713	46	0 2
GO:0006734	47	0 3
GO:0006807	48	0 3
GO:0009056	49	0 3
GO:0009058	50	0 3
GO:0016999	51	0 3
GO:0018933	52	0 3
GO:0019748	53	0 3
GO:0032259	54	0 3
GO:0032963	55	0 3
GO:0042440	56	0 3
GO:0042445	57	0 3 19 412 2506
GO:0044237	58	0 3 4
GO:0044238	59	0 3
GO:0044281	60	0 3
GO:0045730	61	0 3
GO:0051189	62	0 3
GO:0070085	63	0 3
GO:0070988	64	0 3
GO:0071704	65	0 3
GO:0140651	66	0 3
GO:1901275	67	0 3
GO:1901286	68	0 3
GO:1901764	69	0 3
GO:1901902	70	0 3
GO:1902421	71	0 3
GO:1990845	72	0 3
GO:0000920	73	0 4
GO:0001775	74	0 4
GO:0001906	75	0 4
GO:0006276	76	0 4
GO:0006457	77	0 4
GO:0006903	78	0 4
GO:0006949	79	0 4 9 350
GO:0007017	80	0 4
GO:0007049	81	0 4
GO:0007059	82	0 4
GO:0007154	83	0 4
GO:0007155	84	0 4
GO:0007163	85	0 4
GO:0007165	86	0 4 19 410 2486
GO:0007272	87	0 4
GO:0008037	88	0 4
GO:0008219	89	0 4
GO:0008283	90	0 4
GO:0009292	91	0 4
GO:0010118	92	0 4
GO:0010496	93	0 4 17 399 2439
GO:0016037	94	0 4
GO:0016049	95	0 4 10
GO:0019725	96	0 4 19 412 2517
GO:0019835	97	0 4
GO:0022402	98	0 4
GO:0022406	99	0 4
GO:0022412	100	0 4 6
GO:0030029	101	0 4
GO:0032196	102	0 4
GO:0033059	103	0 4 12
GO:0034337	104	0 4
GO:0035212	105	0 4 19 410 2476
GO:0036166	106	0 4
GO:0043335	107	0 4
GO:0044663	108	0 4
GO:0045103	109	0 4
GO:0048869	110	0 4 9
GO:0048870	111	0 4
GO:0051301	112	0 4
GO:0051641	113	0 4 17
GO:0051651	114	0 4 17 400
GO:0051674	115	0 4 17
GO:0051716	116	0 4 16
GO:0055085	117	0 4 17 399 2439
GO:0060352	118	0 4
GO:0061842	119	0 4 17
GO:0061919	120	0 4
GO:0071554	121	0 4
GO:0071840	122	0 4
GO:0090618	123	0 4
GO:0097194	124	0 4
GO:0097528	125	0 4
GO:0098743	126	0 4
GO:0120312	127	0 4
GO:0140029	128	0 4
GO:0140253	129	0 4
GO:0140352	130	0 4 17 399 2439
GO:1990748	131	0 4 20
GO:0019042	132	0 5
GO:0019043	133	0 5
GO:0019044	134	0 5
GO:0019045	135	0 5
GO:0019046	136	0 5
