Term	Index	Depth
GO:0008150	0	0
GO:0000003	1	1
GO:0002376	2	1
GO:0008152	3	1
GO:0009987	4	1
GO:0016032	5	1
GO:0022414	6	1
GO:0023052	7	1
GO:0032501	8	1
GO:0032502	9	1
GO:0040007	10	1
GO:0040011	11	1
GO:0043473	12	1
GO:0044419	13	1
GO:0044848	14	1
GO:0048511	15	1
GO:0050896	16	1
GO:0051179	17	1
GO:0051703	18	1
GO:0065007	19	1
GO:0098754	20	1
GO:0110148	21	1
GO:0019953	22	2
GO:0019954	23	2
GO:0032504	24	2
GO:0032505	25	2
GO:0075325	26	2
GO:1990277	27	2
GO:0001776	28	2
GO:0002200	29	2
GO:0002252	30	2
GO:0002253	31	2
GO:0002262	32	2
GO:0002339	33	2
GO:0002404	34	2
GO:0002440	35	2
GO:0002507	36	2
GO:0002520	37	2
GO:0006955	38	2
GO:0019882	39	2
GO:0031294	40	2
GO:0035172	41	2
GO:0042386	42	2
GO:0045058	43	2
GO:0045321	44	2
GO:0050900	45	2
GO:0090713	46	2
GO:0006734	47	2
GO:0006807	48	2
GO:0009056	49	2
GO:0009058	50	2
GO:0016999	51	2
GO:0018933	52	2
GO:0019748	53	2
GO:0032259	54	2
GO:0032963	55	2
GO:0042440	56	2
GO:0042445	57	2
GO:0044237	58	2
GO:0044238	59	2
GO:0044281	60	2
GO:0045730	61	2
GO:0051189	62	2
GO:0070085	63	2
GO:0070988	64	2
GO:0071704	65	2
GO:0140651	66	2
GO:1901275	67	2
GO:1901286	68	2
GO:1901764	69	2
GO:1901902	70	2
GO:1902421	71	2
GO:1990845	72	2
GO:0000920	73	2
GO:0001775	74	2
GO:0001906	75	2
GO:0006276	76	2
GO:0006457	77	2
GO:0006903	78	2
GO:0006949	79	2
GO:0007017	80	2
GO:0007049	81	2
GO:0007059	82	2
GO:0007154	83	2
GO:0007155	84	2
GO:0007163	85	2
GO:0007165	86	2
GO:0007272	87	2
GO:0008037	88	2
GO:0008219	89	2
GO:0008283	90	2
GO:0009292	91	2
GO:0010118	92	2
GO:0010496	93	2
GO:0016037	94	2
GO:0016049	95	2
GO:0019725	96	2
GO:0019835	97	2
GO:0022402	98	2
GO:0022406	99	2
GO:0022412	100	2
GO:0030029	101	2
GO:0032196	102	2
GO:0033059	103	2
GO:0034337	104	2
GO:0035212	105	2
GO:0036166	106	2
GO:0043335	107	2
GO:0044663	108	2
GO:0045103	109	2
GO:0048869	110	2
GO:0048870	111	2
GO:0051301	112	2
GO:0051641	113	2
GO:0051651	114	2
GO:0051674	115	2
GO:0051716	116	2
GO:0055085	117	2
GO:0060352	118	2
GO:0061842	119	2
GO:0061919	120	2
GO:0071554	121	2
GO:0071840	122	2
GO:0090618	123	2
GO:0097194	124	2
GO:0097528	125	2
GO:0098743	126	2
GO:0120312	127	2
GO:0140029	128	2
GO:0140253	129	2
GO:0140352	130	2
GO:1990748	131	2
GO:0019042	132	2
GO:0019043	133	2
GO:0019044	134	2
GO:0019045	135	2
GO:0019046	136	2
GO:0019048	137	2
GO:0019058	138	2
GO:0019061	139	2
GO:0019068	140	2
GO:0019069	141	2
GO:0019070	142	2
GO:0019072	143	2
GO:0019075	144	2
GO:0019076	145	2
GO:0019079	146	2
GO:0019080	147	2
GO:0019081	148	2
GO:0019082	149	2
GO:0019083	150	2
GO:0039663	151	2
GO:0039664	152	2
GO:0039665	153	2
GO:0039700	154	2
GO:0039707	155	2
GO:0044826	156	2
GO:0046745	157	2
GO:0046755	158	2
GO:0046786	159	2
GO:0046794	160	2
GO:0046799	161	2
GO:0046807	162	2
GO:0046815	163	2
GO:0075522	164	2
GO:0075523	165	2
GO:0075524	166	2
GO:0075525	167	2
GO:0075526	168	2
GO:0075527	169	2
GO:0098003	170	2
GO:0098004	171	2
GO:0098005	172	2
GO:0098045	173	2
GO:0098669	174	2
GO:0098677	175	2
GO:0098678	176	2
GO:0098689	177	2
GO:0099009	178	2
GO:0000742	179	2
GO:0000743	180	2
GO:0000744	181	2
GO:0000745	182	2
GO:0000752	183	2
GO:0000761	184	2
GO:0002077	185	2
GO:0003006	186	2
GO:0007117	187	2
GO:0007300	188	2
GO:0007316	189	2
GO:0007340	190	2
GO:0007343	191	2
GO:0007344	192	2
GO:0007534	193	2
GO:0007543	194	2
GO:0007566	195	2
GO:0009566	196	2
GO:0009846	197	2
GO:0009856	198	2
GO:0009859	199	2
GO:0009865	200	2
GO:0009875	201	2
GO:0009876	202	2
GO:0010069	203	2
GO:0010183	204	2
GO:0010344	205	2
GO:0010483	206	2
GO:0010588	207	2
GO:0018985	208	2
GO:0019098	209	2
GO:0022413	210	2
GO:0022602	211	2
GO:0030709	212	2
GO:0032219	213	2
GO:0032220	214	2
GO:0035036	215	2
GO:0035037	216	2
GO:0035038	217	2
GO:0035039	218	2
GO:0035040	219	2
GO:0035041	220	2
GO:0035044	221	2
GO:0035046	222	2
GO:0035471	223	2
GO:0042628	224	2
GO:0043093	225	2
GO:0044703	226	2
GO:0045729	227	2
GO:0046595	228	2
GO:0048359	229	2
GO:0048497	230	2
GO:0048573	231	2
GO:0048609	232	2
GO:0051037	233	2
GO:0051321	234	2
GO:0051663	235	2
GO:0060011	236	2
GO:0060321	237	2
GO:0060466	238	2
GO:0060468	239	2
GO:0060470	240	2
GO:0060471	241	2
GO:0060474	242	2
GO:0060475	243	2
GO:0060476	244	2
GO:0060478	245	2
GO:0060518	246	2
GO:0060519	247	2
GO:0060738	248	2
GO:0060739	249	2
GO:0060767	250	2
GO:0060781	251	2
GO:0060783	252	2
GO:0060858	253	2
GO:0060869	254	2
GO:0060870	255	2
GO:0061450	256	2
GO:0061883	257	2
GO:0061948	258	2
GO:0061955	259	2
GO:0070871	260	2
GO:0071171	261	2
GO:0071507	262	2
GO:0071835	263	2
GO:0080112	264	2
GO:0090220	265	2
GO:0097722	266	2
GO:0110134	267	2
GO:0140547	268	2
GO:1903046	269	2
GO:1905261	270	2
GO:1990109	271	2
GO:0007267	272	2
GO:0021807	273	2
GO:0021837	274	2
GO:0021838	275	2
GO:0035426	276	2
GO:0035637	277	2
GO:0001503	278	2
GO:0001763	279	2
GO:0001816	280	2
GO:0002021	281	2
GO:0002532	282	2
GO:0003008	283	2
GO:0003053	284	2
GO:0007275	285	2
GO:0007389	286	2
GO:0007585	287	2
GO:0007586	288	2
GO:0007610	289	2
GO:0008340	290	2
GO:0009561	291	2
GO:0009791	292	2
GO:0009845	293	2
GO:0010022	294	2
GO:0010073	295	2
GO:0010162	296	2
GO:0016203	297	2
GO:0019827	298	2
GO:0022004	299	2
GO:0022005	300	2
GO:0022404	301	2
GO:0022608	302	2
GO:0030431	303	2
GO:0030588	304	2
GO:0031424	305	2
GO:0032898	306	2
GO:0032922	307	2
GO:0032941	308	2
GO:0033555	309	2
GO:0034381	310	2
GO:0035073	311	2
GO:0035074	312	2
GO:0035264	313	2
GO:0035265	314	2
GO:0035314	315	2
GO:0035889	316	2
GO:0042303	317	2
GO:0043480	318	2
GO:0044706	319	2
GO:0045056	320	2
GO:0045494	321	2
GO:0048647	322	2
GO:0048771	323	2
GO:0048871	324	2
GO:0050817	325	2
GO:0050879	326	2
GO:0055046	327	2
GO:0055127	328	2
GO:0060384	329	2
GO:0071684	330	2
GO:0071827	331	2
GO:0080189	332	2
GO:0090130	333	2
GO:0090664	334	2
GO:0097167	335	2
GO:0097207	336	2
GO:0097242	337	2
GO:1990110	338	2
GO:0007568	339	2
GO:0009653	340	2
GO:0009838	341	2
GO:0010014	342	2
GO:0021700	343	2
GO:0022611	344	2
GO:0030583	345	2
GO:0031128	346	2
GO:0043696	347	2
GO:0043934	348	2
GO:0048532	349	2
GO:0048646	350	2
GO:0048856	351	2
GO:0060033	352	2
GO:0090644	353	2
GO:0090693	354	2
GO:0097737	355	2
GO:0098727	356	2
GO:0030447	357	2
GO:0048589	358	2
GO:0080190	359	2
GO:0031987	360	2
GO:0033058	361	2
GO:0036268	362	2
GO:0042330	363	2
GO:0060361	364	2
GO:0071965	365	2
GO:0033060	366	2
GO:0043476	367	2
GO:0048066	368	2
GO:0031640	369	2
GO:0035821	370	2
GO:0044111	371	2
GO:0044403	372	2
GO:0051707	373	2
GO:0022403	374	2
GO:0022601	375	2
GO:0044851	376	2
GO:0060206	377	2
GO:0072690	378	2
GO:1990636	379	2
GO:0007623	380	2
GO:0007624	381	2
GO:0042698	382	2
GO:0006950	383	2
GO:0009605	384	2
GO:0009607	385	2
GO:0009628	386	2
GO:0009719	387	2
GO:0014823	388	2
GO:0014854	389	2
GO:0014874	390	2
GO:0042221	391	2
GO:0043500	392	2
GO:0051606	393	2
GO:0051775	394	2
GO:0031503	395	2
GO:0033036	396	2
GO:0035732	397	2
