Term	Index
GO:0008150	0
GO:0000003	1
GO:0002376	2
GO:0008152	3
GO:0009987	4
GO:0016032	5
GO:0022414	6
GO:0023052	7
GO:0032501	8
GO:0032502	9
GO:0040007	10
GO:0040011	11
GO:0043473	12
GO:0044419	13
GO:0044848	14
GO:0048511	15
GO:0050896	16
GO:0051179	17
GO:0051703	18
GO:0065007	19
GO:0098754	20
GO:0110148	21
GO:0019953	22
GO:0019954	23
GO:0032504	24
GO:0032505	25
GO:0075325	26
GO:1990277	27
GO:0001776	28
GO:0002200	29
GO:0002252	30
GO:0002253	31
GO:0002262	32
GO:0002339	33
GO:0002404	34
GO:0002440	35
GO:0002507	36
GO:0002520	37
GO:0006955	38
GO:0019882	39
GO:0031294	40
GO:0035172	41
GO:0042386	42
GO:0045058	43
GO:0045321	44
GO:0050900	45
GO:0090713	46
GO:0006734	47
GO:0006807	48
GO:0009056	49
GO:0009058	50
GO:0016999	51
GO:0018933	52
GO:0019748	53
GO:0032259	54
GO:0032963	55
GO:0042440	56
GO:0042445	57
GO:0044237	58
GO:0044238	59
GO:0044281	60
GO:0045730	61
GO:0051189	62
GO:0070085	63
GO:0070988	64
GO:0071704	65
GO:0140651	66
GO:1901275	67
GO:1901286	68
GO:1901764	69
GO:1901902	70
GO:1902421	71
GO:1990845	72
GO:0000920	73
GO:0001775	74
GO:0001906	75
GO:0006276	76
GO:0006457	77
GO:0006903	78
GO:0006949	79
GO:0007017	80
GO:0007049	81
GO:0007059	82
GO:0007154	83
GO:0007155	84
GO:0007163	85
GO:0007165	86
GO:0007272	87
GO:0008037	88
GO:0008219	89
GO:0008283	90
GO:0009292	91
GO:0010118	92
GO:0010496	93
GO:0016037	94
GO:0016049	95
GO:0019725	96
GO:0019835	97
GO:0022402	98
GO:0022406	99
GO:0022412	100
GO:0030029	101
GO:0032196	102
GO:0033059	103
GO:0034337	104
GO:0035212	105
GO:0036166	106
GO:0043335	107
GO:0044663	108
GO:0045103	109
GO:0048869	110
GO:0048870	111
GO:0051301	112
GO:0051641	113
GO:0051651	114
GO:0051674	115
GO:0051716	116
GO:0055085	117
GO:0060352	118
GO:0061842	119
GO:0061919	120
GO:0071554	121
GO:0071840	122
GO:0090618	123
GO:0097194	124
GO:0097528	125
GO:0098743	126
GO:0120312	127
GO:0140029	128
GO:0140253	129
GO:0140352	130
GO:1990748	131
GO:0019042	132
GO:0019043	133
GO:0019044	134
GO:0019045	135
GO:0019046	136
GO:0019048	137
GO:0019058	138
GO:0019061	139
GO:0019068	140
GO:0019069	141
GO:0019070	142
GO:0019072	143
GO:0019075	144
GO:0019076	145
GO:0019079	146
GO:0019080	147
GO:0019081	148
GO:0019082	149
GO:0019083	150
GO:0039663	151
GO:0039664	152
GO:0039665	153
GO:0039700	154
GO:0039707	155
GO:0044826	156
GO:0046745	157
GO:0046755	158
GO:0046786	159
GO:0046794	160
GO:0046799	161
GO:0046807	162
GO:0046815	163
GO:0075522	164
GO:0075523	165
GO:0075524	166
GO:0075525	167
GO:0075526	168
GO:0075527	169
GO:0098003	170
GO:0098004	171
GO:0098005	172
GO:0098045	173
GO:0098669	174
GO:0098677	175
GO:0098678	176
GO:0098689	177
GO:0099009	178
GO:0000742	179
GO:0000743	180
GO:0000744	181
GO:0000745	182
GO:0000752	183
GO:0000761	184
GO:0002077	185
GO:0003006	186
GO:0007117	187
GO:0007300	188
GO:0007316	189
GO:0007340	190
GO:0007343	191
GO:0007344	192
GO:0007534	193
GO:0007543	194
GO:0007566	195
GO:0009566	196
GO:0009846	197
GO:0009856	198
GO:0009859	199
GO:0009865	200
GO:0009875	201
GO:0009876	202
GO:0010069	203
GO:0010183	204
GO:0010344	205
GO:0010483	206
GO:0010588	207
GO:0018985	208
GO:0019098	209
GO:0022413	210
GO:0022602	211
GO:0030709	212
GO:0032219	213
GO:0032220	214
GO:0035036	215
GO:0035037	216
GO:0035038	217
GO:0035039	218
GO:0035040	219
GO:0035041	220
GO:0035044	221
GO:0035046	222
GO:0035471	223
GO:0042628	224
GO:0043093	225
GO:0044703	226
GO:0045729	227
GO:0046595	228
GO:0048359	229
GO:0048497	230
GO:0048573	231
GO:0048609	232
GO:0051037	233
GO:0051321	234
GO:0051663	235
GO:0060011	236
GO:0060321	237
GO:0060466	238
GO:0060468	239
GO:0060470	240
GO:0060471	241
GO:0060474	242
