Leaf	Index	Depth
GO:0032504	24	2
GO:0075325	26	2
GO:1990277	27	2
GO:0002520	37	2
GO:0035172	41	2
GO:0140651	66	2
GO:0000920	73	2
GO:0035212	105	2
GO:0043335	107	2
GO:0044663	108	2
GO:0060352	118	2
GO:0090618	123	2
GO:0097194	124	2
GO:0097528	125	2
GO:0120312	127	2
GO:0019042	132	2
GO:0019044	134	2
GO:0019045	135	2
GO:0019058	138	2
GO:0019061	139	2
GO:0019068	140	2
GO:0019070	142	2
GO:0019075	144	2
GO:0019080	147	2
GO:0019082	149	2
GO:0039700	154	2
GO:0039707	155	2
GO:0044826	156	2
GO:0046745	157	2
GO:0046786	159	2
GO:0046799	161	2
GO:0046807	162	2
GO:0046815	163	2
GO:0075522	164	2
GO:0075523	165	2
GO:0075524	166	2
GO:0075525	167	2
GO:0075526	168	2
GO:0075527	169	2
GO:0098003	170	2
GO:0098004	171	2
GO:0098005	172	2
GO:0098045	173	2
GO:0098669	174	2
GO:0098677	175	2
GO:0098678	176	2
GO:0098689	177	2
GO:0099009	178	2
GO:0000742	179	2
GO:0000743	180	2
GO:0000744	181	2
GO:0000745	182	2
GO:0000752	183	2
GO:0000761	184	2
GO:0002077	185	2
GO:0007300	188	2
GO:0007340	190	2
GO:0007343	191	2
GO:0007344	192	2
GO:0007534	193	2
GO:0007543	194	2
GO:0007566	195	2
GO:0009846	197	2
GO:0009856	198	2
GO:0009859	199	2
GO:0009865	200	2
GO:0009876	202	2
GO:0010069	203	2
GO:0010183	204	2
GO:0010344	205	2
GO:0010483	206	2
GO:0010588	207	2
GO:0030709	212	2
GO:0032219	213	2
GO:0032220	214	2
GO:0035037	216	2
GO:0035038	217	2
GO:0035039	218	2
GO:0035040	219	2
GO:0035041	220	2
GO:0035044	221	2
GO:0035046	222	2
GO:0035471	223	2
GO:0042628	224	2
GO:0043093	225	2
GO:0045729	227	2
GO:0046595	228	2
GO:0048497	230	2
GO:0060011	236	2
GO:0060321	237	2
GO:0060466	238	2
GO:0060468	239	2
GO:0060471	241	2
GO:0060474	242	2
GO:0060475	243	2
GO:0060476	244	2
GO:0060478	245	2
GO:0060518	246	2
GO:0060519	247	2
GO:0060738	248	2
GO:0060781	251	2
GO:0060783	252	2
GO:0060858	253	2
GO:0060869	254	2
GO:0060870	255	2
GO:0061450	256	2
GO:0061883	257	2
GO:0061948	258	2
GO:0061955	259	2
GO:0071171	261	2
GO:0071507	262	2
GO:0071835	263	2
GO:0080112	264	2
GO:0110134	267	2
GO:0140547	268	2
GO:1990109	271	2
GO:0021837	274	2
GO:0021838	275	2
GO:0002021	281	2
GO:0007585	287	2
GO:0008340	290	2
GO:0009561	291	2
GO:0010073	295	2
GO:0016203	297	2
GO:0022004	299	2
GO:0022005	300	2
GO:0031424	305	2
GO:0032922	307	2
GO:0035073	311	2
GO:0035074	312	2
GO:0035264	313	2
GO:0035314	315	2
GO:0035889	316	2
GO:0045494	321	2
GO:0055046	327	2
GO:0055127	328	2
GO:0060384	329	2
GO:0080189	332	2
GO:0090664	334	2
GO:0097167	335	2
GO:0097207	336	2
GO:1990110	338	2
GO:0030583	345	2
GO:0090644	353	2
GO:0097737	355	2
GO:0036268	362	2
GO:0071965	365	2
GO:0033060	366	2
GO:0072690	378	2
GO:0035732	397	2
GO:0000758	403	2
GO:0035176	404	2
GO:0120318	407	2
GO:0031413	408	2
GO:0032268	409	2
GO:0140845	414	2
GO:0140846	415	2
GO:0140847	416	2
GO:0010127	418	2
GO:0010312	419	2
GO:0071722	422	2
GO:0140725	423	2
GO:0140729	424	2
GO:0000747	426	3
GO:0000748	427	3
GO:0048624	430	3
GO:0001780	431	3
