Term	Index	Ancestors
GO:0005575	0	
GO:0110165	1	0
GO:0032991	2	0
GO:0044423	3	0
GO:0120043	4	0 1
GO:0061826	5	0 1
GO:0005829	6	0 1
GO:0043226	7	0 1
GO:0051233	8	0 1
GO:0097228	9	0 1
GO:0005622	10	0 1
GO:0140512	11	0 1
GO:0097683	12	0 1
GO:0009546	13	0 1
GO:0009542	14	0 1
GO:0009427	15	0 1
GO:0042718	16	0 1
GO:0030694	17	0 1
GO:0020008	18	0 1
GO:0097433	19	0 1
GO:0110071	20	0 1
GO:1990037	21	0 1
GO:0044290	22	0 1
GO:0097592	23	0 1
GO:0070971	24	0 1
GO:0043673	25	0 1
GO:0032179	26	0 1
GO:1990047	27	0 1
GO:0044326	28	0 1
GO:1990225	29	0 1
GO:0048471	30	0 1
GO:0020039	31	0 1
GO:0001917	32	0 1
GO:0097544	33	0 1
GO:1990716	34	0 1
GO:0043196	35	0 1
GO:0070115	36	0 1
GO:0044224	37	0 1
GO:0001652	38	0 1
GO:0009548	39	0 1
GO:0000801	40	0 1
GO:0090405	41	0 1
GO:0032426	42	0 1
GO:0106125	43	0 1
GO:0031910	44	0 1
GO:1990783	45	0 1
GO:0085036	46	0 1
GO:0120105	47	0 1
GO:1990295	48	0 1
GO:0120083	49	0 1
GO:0009425	50	0 1
GO:1990875	51	0 1
GO:0098843	52	0 1
GO:0044303	53	0 1
GO:0043198	54	0 1
GO:0090688	55	0 1
GO:0032153	56	0 1
GO:0061822	57	0 1
GO:0010319	58	0 1
GO:0043592	59	0 1
GO:0090641	60	0 1
GO:0060187	61	0 1
GO:0090637	62	0 1
GO:0140022	63	0 1
GO:0036379	64	0 1
GO:0016604	65	0 1
GO:0070938	66	0 1
GO:0110092	67	0 1
GO:0060110	68	0 1
GO:0031256	69	0 1
GO:0090724	70	0 1
GO:0097356	71	0 1
GO:1990015	72	0 1
GO:0009549	73	0 1
GO:0150004	74	0 1
GO:0097218	75	0 1
GO:0000922	76	0 1
GO:0090692	77	0 1
GO:0060107	78	0 1
GO:0061825	79	0 1
GO:0072562	80	0 1
GO:0097204	81	0 1
GO:0031257	82	0 1
GO:0043209	83	0 1
GO:0009986	84	0 1
GO:0061827	85	0 1
GO:0005726	86	0 1
GO:0031592	87	0 1
GO:0031672	88	0 1
GO:0032579	89	0 1
GO:0097478	90	0 1
GO:0036117	91	0 1
GO:0043678	92	0 1
GO:0048223	93	0 1
GO:1990030	94	0 1
GO:0009510	95	0 1
GO:0009424	96	0 1
GO:0005576	97	0 1
GO:0009431	98	0 1
GO:0033012	99	0 1
GO:1990836	100	0 1
GO:0005825	101	0 1
GO:0005630	102	0 1
GO:0097227	103	0 1
GO:0001772	104	0 1
GO:1990819	105	0 1
GO:0044327	106	0 1
GO:0005737	107	0 1
GO:0032126	108	0 1
GO:0062074	109	0 1
GO:0020031	110	0 1
GO:0097546	111	0 1
GO:0005657	112	0 1
GO:0035182	113	0 1
GO:0071944	114	0 1
GO:0060106	115	0 1
GO:0140599	116	0 1
GO:0009541	117	0 1
GO:0032161	118	0 1
GO:0001400	119	0 1
GO:0098687	120	0 1
GO:0009429	121	0 1
GO:0044304	122	0 1
GO:0097564	123	0 1
GO:0033774	124	0 1
GO:0012505	125	0 1
GO:0031977	126	0 1
GO:0016328	127	0 1
GO:0097225	128	0 1
GO:0097653	129	0 1
GO:0120134	130	0 1
GO:0097614	131	0 1
GO:0005702	132	0 1
GO:0120107	133	0 1
GO:0020038	134	0 1
GO:0043219	135	0 1
GO:0033268	136	0 1
GO:1990826	137	0 1
GO:0005713	138	0 1
GO:0005821	139	0 1
GO:0097545	140	0 1
GO:0097563	141	0 1
GO:0120098	142	0 1
GO:0020007	143	0 1
GO:0120135	144	0 1
GO:0043670	145	0 1
GO:0097268	146	0 1
GO:0090552	147	0 1
GO:1990073	148	0 1
GO:0097540	149	0 1
GO:0120219	150	0 1
GO:0009428	151	0 1
GO:0090725	152	0 1
GO:0035869	153	0 1
GO:0070057	154	0 1
GO:0090553	155	0 1
GO:0110093	156	0 1
GO:0097569	157	0 1
GO:0005822	158	0 1
GO:0031975	159	0 1
GO:1990876	160	0 1
GO:0009418	161	0 1
GO:0072324	162	0 1
GO:0000943	163	0 1
GO:0002139	164	0 1
GO:0005706	165	0 1
GO:0120100	166	0 1
GO:0099079	167	0 1
GO:0000802	168	0 1
GO:0030427	169	0 1
GO:0031430	170	0 1
GO:0031674	171	0 1
GO:0030312	172	0 1
GO:0044217	173	0 1
GO:0009504	174	0 1
GO:0061823	175	0 1
GO:0045178	176	0 1
GO:0034646	177	0 1
GO:0097197	178	0 1
GO:0034399	179	0 1
GO:0120104	180	0 1
GO:0071597	181	0 1
GO:0097566	182	0 1
GO:0042587	183	0 1
GO:1990014	184	0 1
GO:0097038	185	0 1
GO:1990916	186	0 1
GO:0090652	187	0 1
GO:0034992	188	0 1
GO:0043220	189	0 1
GO:0043159	190	0 1
GO:0014705	191	0 1
GO:0005652	192	0 1
GO:1990031	193	0 1
GO:0005933	194	0 1
GO:0046691	195	0 1
GO:0005824	196	0 1
GO:0070825	197	0 1
GO:0044195	198	0 1
GO:0005823	199	0 1
GO:0036224	200	0 1
GO:0043675	201	0 1
GO:0090635	202	0 1
GO:0120102	203	0 1
GO:0097565	204	0 1
GO:0097594	205	0 1
GO:0120212	206	0 1
GO:0070469	207	0 1
GO:0018995	208	0 1
GO:0090726	209	0 1
GO:0061835	210	0 1
GO:0060417	211	0 1
GO:0097427	212	0 1
GO:0097591	213	0 1
GO:0032123	214	0 1
GO:0043204	215	0 1
GO:0030061	216	0 1
GO:0097595	217	0 1
GO:0120082	218	0 1
GO:0120205	219	0 1
GO:0046868	220	0 1
GO:0036063	221	0 1
GO:0097567	222	0 1
GO:0070687	223	0 1
GO:0033269	224	0 1
GO:0010287	225	0 1
GO:0062201	226	0 1
GO:0097610	227	0 1
GO:0098552	228	0 1
GO:0036477	229	0 1
GO:0060418	230	0 1
GO:0009295	231	0 1
GO:0035686	232	0 1
GO:0044306	233	0 1
GO:0032432	234	0 1
GO:0098862	235	0 1
GO:0045169	236	0 1
GO:0042597	237	0 1
GO:1990900	238	0 1
GO:0035748	239	0 1
GO:0005632	240	0 1
GO:0106126	241	0 1
GO:0033150	242	0 1
GO:1990805	243	0 1
GO:0000800	244	0 1
GO:0031224	245	0 1
GO:0097422	246	0 1
GO:0005712	247	0 1
GO:0044322	248	0 1
GO:0009525	249	0 1
GO:0097445	250	0 1
GO:0032433	251	0 1
GO:0031984	252	0 1
GO:0098793	253	0 1
GO:0042763	254	0 1
GO:0030874	255	0 1
GO:0042995	256	0 1
GO:0043671	257	0 1
GO:0097226	258	0 1
GO:0097217	259	0 1
GO:0060105	260	0 1
GO:0016363	261	0 1
GO:1990794	262	0 1
GO:0048226	263	0 1
GO:0097313	264	0 1
GO:0030496	265	0 1
GO:0000399	266	0 1
GO:0036007	267	0 1
GO:0120120	268	0 1
GO:0031912	269	0 1
GO:0120121	270	0 1
GO:0043662	271	0 1
GO:0009426	272	0 1
GO:0061834	273	0 1
GO:0014801	274	0 1
GO:0150034	275	0 1
GO:0120044	276	0 1
GO:0044099	277	0 1
GO:0097224	278	0 1
GO:0020016	279	0 1
GO:0001750	280	0 1
GO:0090689	281	0 1
GO:0030315	282	0 1
GO:0032437	283	0 1
GO:0060108	284	0 1
GO:0097047	285	0 1
GO:0031673	286	0 1
GO:0009433	287	0 1
GO:0000407	288	0 1
GO:0043669	289	0 1
GO:0090636	290	0 1
GO:0097203	291	0 1
GO:0097735	292	0 1
GO:0140510	293	0 1
GO:0048786	294	0 1
GO:0090658	295	0 1
GO:0032158	296	0 1
GO:0005621	297	0 1
GO:0120206	298	0 1
GO:0097002	299	0 1
GO:0043034	300	0 1
GO:0035843	301	0 1
GO:1990427	302	0 1
GO:0097684	303	0 1
GO:1990717	304	0 1
GO:0070701	305	0 1
GO:0060104	306	0 1
GO:0034451	307	0 1
GO:0043593	308	0 1
GO:0016020	309	0 1
GO:0030054	310	0 1
GO:0098794	311	0 1
GO:0043595	312	0 1
