Term	Index	Name
GO:0005575	0	A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome).
GO:0110165	1	A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex but below that of an anatomical system. Or, a substance produced by a cellular organism with granularity above the level of a protein complex.
GO:0032991	2	A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together.
GO:0044423	3	Any constituent part of a virion, a complete fully infectious extracellular virus particle.
GO:0120043	4	The shaft comprises the majority of the length of the stereocilium. This region is notable for the extreme stability of actin filaments, which are highly crosslinked into a parallel bundle.
GO:0061826	5	The ring structure surrounding the podosome core, containing proteins such as vinculin and talin.
GO:0005829	6	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.
GO:0043226	7	Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane.
GO:0051233	8	The area in the center of the spindle where the spindle microtubules from opposite poles overlap.
GO:0097228	9	The segment of the sperm flagellum where the mitochondrial sheath ends, and the outer dense fibers (ODFs) associated with outer axonemal doublets 3 and 8 are replaced by the 2 longitudinal columns of the fibrous sheath (FS) which run the length of the principal piece and are stabilized by circumferential ribs. The principal piece makes up ~2/3 of the length of the sperm flagellum and is defined by the presence of the FS and of only 7 (rather than 9) ODFs which taper and then terminate near the distal end of the principal piece.
GO:0005622	10	A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm.
GO:0140512	11	The central region of a mitotic nuclear bridge, distal to the main portions of the daughter nuclei.
GO:0097683	12	The anterior most point of a dinoflagellate epicone.
GO:0009546	13	The space between the plasma membrane and the desmotubule of a plasmodesma.
GO:0009542	14	Distinct stack of lamellae seen within chloroplasts. Grana contain the pigments, electron transfer compounds, and enzymes essential to the light-dependent reactions of photosynthesis.
GO:0009427	15	One of the rings of the bacterial-type flagellar basal body; anchors the basal body to the outer membrane.
GO:0042718	16	Discrete structures that partition the water-insoluble portion of the yolk of oocytes and ova, which may or may not be membrane enclosed.
