Term	Index
GO:0005575	0
GO:0110165	1
GO:0032991	2
GO:0044423	3
GO:0120043	4
GO:0061826	5
GO:0005829	6
GO:0043226	7
GO:0051233	8
GO:0097228	9
GO:0005622	10
GO:0140512	11
GO:0097683	12
GO:0009546	13
GO:0009542	14
GO:0009427	15
GO:0042718	16
GO:0030694	17
GO:0020008	18
GO:0097433	19
GO:0110071	20
GO:1990037	21
GO:0044290	22
GO:0097592	23
GO:0070971	24
GO:0043673	25
GO:0032179	26
GO:1990047	27
GO:0044326	28
GO:1990225	29
GO:0048471	30
GO:0020039	31
GO:0001917	32
GO:0097544	33
GO:1990716	34
GO:0043196	35
GO:0070115	36
GO:0044224	37
GO:0001652	38
GO:0009548	39
GO:0000801	40
GO:0090405	41
GO:0032426	42
GO:0106125	43
GO:0031910	44
GO:1990783	45
GO:0085036	46
GO:0120105	47
GO:1990295	48
GO:0120083	49
GO:0009425	50
GO:1990875	51
GO:0098843	52
GO:0044303	53
GO:0043198	54
GO:0090688	55
GO:0032153	56
GO:0061822	57
GO:0010319	58
GO:0043592	59
GO:0090641	60
GO:0060187	61
GO:0090637	62
GO:0140022	63
GO:0036379	64
GO:0016604	65
GO:0070938	66
GO:0110092	67
GO:0060110	68
GO:0031256	69
GO:0090724	70
GO:0097356	71
GO:1990015	72
GO:0009549	73
GO:0150004	74
GO:0097218	75
GO:0000922	76
GO:0090692	77
GO:0060107	78
GO:0061825	79
GO:0072562	80
GO:0097204	81
GO:0031257	82
GO:0043209	83
GO:0009986	84
GO:0061827	85
GO:0005726	86
GO:0031592	87
GO:0031672	88
GO:0032579	89
GO:0097478	90
GO:0036117	91
GO:0043678	92
GO:0048223	93
GO:1990030	94
GO:0009510	95
GO:0009424	96
GO:0005576	97
GO:0009431	98
GO:0033012	99
GO:1990836	100
GO:0005825	101
GO:0005630	102
GO:0097227	103
GO:0001772	104
GO:1990819	105
GO:0044327	106
GO:0005737	107
GO:0032126	108
GO:0062074	109
GO:0020031	110
GO:0097546	111
GO:0005657	112
GO:0035182	113
GO:0071944	114
GO:0060106	115
GO:0140599	116
GO:0009541	117
GO:0032161	118
GO:0001400	119
GO:0098687	120
GO:0009429	121
GO:0044304	122
