Term	Index	Ancestors
GO:0003674	0	
GO:0140522	1	0
GO:0140110	2	0
GO:0060090	3	0
GO:0140223	4	0
GO:0140104	5	0
GO:0005488	6	0
GO:0140657	7	0
GO:0003824	8	0
GO:0098772	9	0
GO:0140313	10	0
GO:0090729	11	0
GO:0140691	12	0
GO:0140776	13	0
GO:0044183	14	0
GO:0140299	15	0
GO:0038024	16	0
GO:0005198	17	0
GO:0031386	18	0
GO:0045735	19	0
GO:0140777	20	0
GO:0016209	21	0
GO:0005215	22	0
GO:0140489	23	0
GO:0060089	24	0
GO:0045182	25	0
GO:0003774	26	0
GO:0140523	27	0 1
GO:0003700	28	0 2
GO:0001072	29	0 2
GO:0001073	30	0 2
GO:0043856	31	0 2
GO:0003711	32	0 2
GO:0003712	33	0 2
GO:0001070	34	0 2
GO:0034246	35	0 2
GO:0030533	36	0 3 6 90 91 633 1666 3530
GO:0106260	37	0 3 6 90 91 633 1667 3536
GO:0030674	38	0 3
GO:0001181	39	0 4
GO:0016251	40	0 4
GO:0000995	41	0 4
GO:0016530	42	0 5
GO:0097163	43	0 5
GO:0140597	44	0 5
GO:0140132	45	0 5
GO:0005344	46	0 5
GO:0140414	47	0 5
GO:0140142	48	0 5
GO:1904483	49	0 6
GO:0070025	50	0 6
GO:0097367	51	0 6
GO:0036094	52	0 6
GO:0050840	53	0 6
GO:0003682	54	0 6
GO:0050436	55	0 6
GO:0008430	56	0 6
GO:0140355	57	0 6
GO:0015643	58	0 6
GO:0044877	59	0 6
GO:0072328	60	0 6
GO:0005515	61	0 6
GO:0050825	62	0 6
GO:0031409	63	0 6
GO:0000035	64	0 6
GO:0005549	65	0 6
GO:0046848	66	0 6
GO:0046812	67	0 6
GO:0042562	68	0 6
GO:1901681	69	0 6
GO:1904517	70	0 6
GO:0019808	71	0 6
GO:0140272	72	0 6
GO:0043167	73	0 6
GO:0097243	74	0 6
GO:0043287	75	0 6
GO:1902670	76	0 6
GO:0070026	77	0 6
GO:0033218	78	0 6
GO:0072341	79	0 6
GO:0033226	80	0 6
GO:0051540	81	0 6
GO:0008289	82	0 6
GO:0030246	83	0 6
GO:0044590	84	0 6
GO:1904493	85	0 6
GO:0042165	86	0 6
GO:0048038	87	0 6
GO:0046904	88	0 6
GO:0043176	89	0 6
GO:1901363	90	0 6
GO:0097159	91	0 6
GO:1990300	92	0 6
GO:0051192	93	0 6
GO:0043515	94	0 6
GO:0050997	95	0 6
GO:0035731	96	0 6
GO:0046790	97	0 6
GO:0003823	98	0 6
GO:0004176	99	0 7 8 127 130 863
GO:0036402	100	0 7
GO:0000146	101	0 7 26
GO:1990833	102	0 7
GO:0004386	103	0 7 8 123
GO:0008094	104	0 7 8 123 785
GO:0030899	105	0 7
GO:0003777	106	0 7 26
GO:0140663	107	0 5 7 42
GO:0140567	108	0 7 22 199
GO:0042626	109	0 7 22 201 1083 3046
GO:0140545	110	0 7 13
GO:0140662	111	0 7 14
GO:0036310	112	0 6 7 90 91 633 1665 1667 3501 3538
GO:0008568	113	0 7 8 13 127
GO:0015645	114	0 7 8 131 945 2816
GO:0070463	115	0 7
GO:0140326	116	0 7 22 200 1063
GO:0008186	117	0 7
GO:0016218	118	0 8
GO:0016491	119	0 8
GO:0004133	120	0 8
GO:1904091	121	0 8
GO:0016740	122	0 8
GO:0140640	123	0 8
GO:0061783	124	0 8
GO:0016829	125	0 8
GO:0032451	126	0 8
GO:0140096	127	0 8
GO:0016853	128	0 8
GO:0009975	129	0 8
GO:0016787	130	0 8
