Term	Index	Depth
GO:0003674	0	0
GO:0140522	1	1
GO:0140110	2	1
GO:0060090	3	1
GO:0140223	4	1
GO:0140104	5	1
GO:0005488	6	1
GO:0140657	7	1
GO:0003824	8	1
GO:0098772	9	1
GO:0140313	10	1
GO:0090729	11	1
GO:0140691	12	1
GO:0140776	13	1
GO:0044183	14	1
GO:0140299	15	1
GO:0038024	16	1
GO:0005198	17	1
GO:0031386	18	1
GO:0045735	19	1
GO:0140777	20	1
GO:0016209	21	1
GO:0005215	22	1
GO:0140489	23	1
GO:0060089	24	1
GO:0045182	25	1
GO:0003774	26	1
GO:0140523	27	2
GO:0003700	28	2
GO:0001072	29	2
GO:0001073	30	2
GO:0043856	31	2
GO:0003711	32	2
GO:0003712	33	2
GO:0001070	34	2
GO:0034246	35	2
GO:0030533	36	2
GO:0106260	37	2
GO:0030674	38	2
GO:0001181	39	2
GO:0016251	40	2
GO:0000995	41	2
GO:0016530	42	2
GO:0097163	43	2
GO:0140597	44	2
GO:0140132	45	2
GO:0005344	46	2
GO:0140414	47	2
GO:0140142	48	2
GO:1904483	49	2
GO:0070025	50	2
GO:0097367	51	2
GO:0036094	52	2
GO:0050840	53	2
GO:0003682	54	2
GO:0050436	55	2
GO:0008430	56	2
GO:0140355	57	2
GO:0015643	58	2
GO:0044877	59	2
GO:0072328	60	2
GO:0005515	61	2
GO:0050825	62	2
GO:0031409	63	2
GO:0000035	64	2
GO:0005549	65	2
GO:0046848	66	2
GO:0046812	67	2
GO:0042562	68	2
GO:1901681	69	2
GO:1904517	70	2
GO:0019808	71	2
GO:0140272	72	2
GO:0043167	73	2
GO:0097243	74	2
GO:0043287	75	2
GO:1902670	76	2
GO:0070026	77	2
GO:0033218	78	2
GO:0072341	79	2
GO:0033226	80	2
GO:0051540	81	2
GO:0008289	82	2
GO:0030246	83	2
GO:0044590	84	2
GO:1904493	85	2
GO:0042165	86	2
GO:0048038	87	2
GO:0046904	88	2
GO:0043176	89	2
GO:1901363	90	2
GO:0097159	91	2
GO:1990300	92	2
GO:0051192	93	2
GO:0043515	94	2
GO:0050997	95	2
GO:0035731	96	2
GO:0046790	97	2
GO:0003823	98	2
GO:0004176	99	2
GO:0036402	100	2
GO:0000146	101	2
GO:1990833	102	2
GO:0004386	103	2
GO:0008094	104	2
GO:0030899	105	2
GO:0003777	106	2
GO:0140663	107	2
GO:0140567	108	2
GO:0042626	109	2
GO:0140545	110	2
GO:0140662	111	2
GO:0036310	112	2
GO:0008568	113	2
GO:0015645	114	2
GO:0070463	115	2
GO:0140326	116	2
GO:0008186	117	2
GO:0016218	118	2
GO:0016491	119	2
GO:0004133	120	2
GO:1904091	121	2
GO:0016740	122	2
GO:0140640	123	2
GO:0061783	124	2
GO:0016829	125	2
GO:0032451	126	2
GO:0140096	127	2
GO:0016853	128	2
GO:0009975	129	2
GO:0016787	130	2
GO:0016874	131	2
GO:0030545	132	2
GO:0140678	133	2
GO:0140659	134	2
GO:0003925	135	2
GO:0030234	136	2
GO:0140677	137	2
GO:0016247	138	2
GO:0060590	139	2
GO:0097351	140	2
GO:0140487	141	2
GO:0140311	142	2
GO:0140610	143	2
GO:0140319	144	2
GO:0003789	145	2
GO:0140775	146	2
GO:0140442	147	2
GO:0106254	148	2
GO:0005034	149	2
GO:0140785	150	2
GO:0140784	151	2
GO:0019826	152	2
GO:0140612	153	2
GO:0035991	154	2
GO:0000155	155	2
GO:0070027	156	2
GO:0004873	157	2
GO:0061714	158	2
GO:0030226	159	2
GO:0140488	160	2
GO:0004998	161	2
GO:0097020	162	2
GO:0008196	163	2
GO:0033568	164	2
GO:0070287	165	2
GO:0005044	166	2
GO:0016964	167	2
GO:0030228	168	2
GO:0008316	169	2
GO:0003735	170	2
GO:0017056	171	2
GO:0097493	172	2
GO:0030527	173	2
GO:0140756	174	2
GO:0030281	175	2
GO:0030280	176	2
GO:0005201	177	2
GO:0043886	178	2
GO:0005199	179	2
GO:0005212	180	2
GO:0008307	181	2
GO:0008147	182	2
GO:0042302	183	2
GO:0005213	184	2
GO:0098918	185	2
GO:0005200	186	2
GO:0039660	187	2
GO:0019911	188	2
GO:0097099	189	2
GO:0016490	190	2
GO:0140778	191	2
GO:0004601	192	2
GO:0004784	193	2
GO:0050605	194	2
GO:0004362	195	2
GO:0032542	196	2
GO:0004791	197	2
GO:0045174	198	2
GO:0140318	199	2
GO:0005319	200	2
GO:0022857	201	2
GO:0000497	202	2
GO:0140490	203	2
GO:0009927	204	2
GO:0038023	205	2
GO:0000156	206	2
GO:0031992	207	2
GO:0045183	208	2
GO:0090624	209	2
GO:0039594	210	2
GO:0090079	211	2
GO:0004694	212	2
GO:0030371	213	2
GO:0061791	214	2
GO:0140605	215	2
GO:0016987	216	3
GO:0000981	217	3
GO:0001217	218	3
GO:0098531	219	3
GO:0001216	220	3
GO:0003713	221	3
GO:0003714	222	3
GO:0033428	223	3
GO:0033438	224	3
GO:0033418	225	3
GO:0033460	226	3
GO:0033445	227	3
GO:0033405	228	3
GO:0033404	229	3
GO:0033458	230	3
GO:0033446	231	3
GO:0033442	232	3
GO:0033454	233	3
GO:0033419	234	3
GO:0033430	235	3
GO:0033406	236	3
GO:0033451	237	3
GO:0033415	238	3
GO:0033411	239	3
GO:0033447	240	3
GO:0033463	241	3
GO:0033435	242	3
GO:0033410	243	3
GO:0033432	244	3
GO:0033426	245	3
GO:0033441	246	3
GO:0033443	247	3
GO:0033437	248	3
GO:0033413	249	3
GO:0033444	250	3
GO:0033422	251	3
GO:0033461	252	3
GO:0033416	253	3
GO:0033408	254	3
GO:0033440	255	3
GO:0033448	256	3
GO:0033450	257	3
GO:0033420	258	3
GO:0033436	259	3
GO:0033414	260	3
GO:0033462	261	3
GO:0033459	262	3
GO:0033453	263	3
GO:0033464	264	3
