Term	Index
GO:0003674	0
GO:0140522	1
GO:0140110	2
GO:0060090	3
GO:0140223	4
GO:0140104	5
GO:0005488	6
GO:0140657	7
GO:0003824	8
GO:0098772	9
GO:0140313	10
GO:0090729	11
GO:0140691	12
GO:0140776	13
GO:0044183	14
GO:0140299	15
GO:0038024	16
GO:0005198	17
GO:0031386	18
GO:0045735	19
GO:0140777	20
GO:0016209	21
GO:0005215	22
GO:0140489	23
GO:0060089	24
GO:0045182	25
GO:0003774	26
GO:0140523	27
GO:0003700	28
GO:0001072	29
GO:0001073	30
GO:0043856	31
GO:0003711	32
GO:0003712	33
GO:0001070	34
GO:0034246	35
GO:0030533	36
GO:0106260	37
GO:0030674	38
GO:0001181	39
GO:0016251	40
GO:0000995	41
GO:0016530	42
GO:0097163	43
GO:0140597	44
GO:0140132	45
GO:0005344	46
GO:0140414	47
GO:0140142	48
GO:1904483	49
GO:0070025	50
GO:0097367	51
GO:0036094	52
GO:0050840	53
GO:0003682	54
GO:0050436	55
GO:0008430	56
GO:0140355	57
GO:0015643	58
GO:0044877	59
GO:0072328	60
GO:0005515	61
GO:0050825	62
GO:0031409	63
GO:0000035	64
GO:0005549	65
GO:0046848	66
GO:0046812	67
GO:0042562	68
GO:1901681	69
GO:1904517	70
GO:0019808	71
GO:0140272	72
GO:0043167	73
GO:0097243	74
GO:0043287	75
GO:1902670	76
GO:0070026	77
GO:0033218	78
GO:0072341	79
GO:0033226	80
GO:0051540	81
GO:0008289	82
GO:0030246	83
GO:0044590	84
GO:1904493	85
GO:0042165	86
GO:0048038	87
GO:0046904	88
GO:0043176	89
GO:1901363	90
GO:0097159	91
GO:1990300	92
GO:0051192	93
GO:0043515	94
GO:0050997	95
GO:0035731	96
GO:0046790	97
GO:0003823	98
GO:0004176	99
GO:0036402	100
GO:0000146	101
GO:1990833	102
GO:0004386	103
GO:0008094	104
GO:0030899	105
GO:0003777	106
GO:0140663	107
GO:0140567	108
GO:0042626	109
GO:0140545	110
GO:0140662	111
GO:0036310	112
GO:0008568	113
GO:0015645	114
GO:0070463	115
GO:0140326	116
GO:0008186	117
GO:0016218	118
GO:0016491	119
GO:0004133	120
GO:1904091	121
GO:0016740	122
GO:0140640	123
GO:0061783	124
GO:0016829	125
GO:0032451	126
GO:0140096	127
GO:0016853	128
GO:0009975	129
GO:0016787	130
GO:0016874	131
GO:0030545	132
GO:0140678	133
GO:0140659	134
GO:0003925	135
GO:0030234	136
GO:0140677	137
GO:0016247	138
GO:0060590	139
GO:0097351	140
GO:0140487	141
GO:0140311	142
GO:0140610	143
GO:0140319	144
GO:0003789	145
GO:0140775	146
GO:0140442	147
GO:0106254	148
GO:0005034	149
GO:0140785	150
GO:0140784	151
GO:0019826	152
GO:0140612	153
GO:0035991	154
GO:0000155	155
GO:0070027	156
GO:0004873	157
GO:0061714	158
GO:0030226	159
GO:0140488	160
GO:0004998	161
GO:0097020	162
GO:0008196	163
GO:0033568	164
GO:0070287	165
GO:0005044	166
GO:0016964	167
GO:0030228	168
GO:0008316	169
GO:0003735	170
GO:0017056	171
GO:0097493	172
GO:0030527	173
GO:0140756	174
GO:0030281	175
GO:0030280	176
GO:0005201	177
GO:0043886	178
GO:0005199	179
GO:0005212	180
GO:0008307	181
GO:0008147	182
GO:0042302	183
GO:0005213	184
GO:0098918	185
GO:0005200	186
GO:0039660	187
GO:0019911	188
GO:0097099	189
GO:0016490	190
GO:0140778	191
GO:0004601	192
GO:0004784	193
GO:0050605	194
GO:0004362	195
GO:0032542	196
GO:0004791	197
GO:0045174	198
GO:0140318	199
GO:0005319	200
GO:0022857	201
GO:0000497	202
GO:0140490	203
GO:0009927	204
GO:0038023	205
GO:0000156	206
GO:0031992	207
GO:0045183	208
GO:0090624	209
GO:0039594	210
GO:0090079	211
GO:0004694	212
GO:0030371	213
GO:0061791	214
GO:0140605	215
GO:0016987	216
GO:0000981	217
GO:0001217	218
GO:0098531	219
GO:0001216	220
GO:0003713	221
GO:0003714	222
GO:0033428	223
GO:0033438	224
GO:0033418	225
GO:0033460	226
GO:0033445	227
GO:0033405	228
GO:0033404	229
GO:0033458	230
GO:0033446	231
GO:0033442	232
GO:0033454	233
GO:0033419	234
GO:0033430	235
GO:0033406	236
GO:0033451	237
GO:0033415	238
GO:0033411	239
GO:0033447	240
GO:0033463	241
GO:0033435	242
GO:0033410	243
GO:0033432	244
GO:0033426	245
GO:0033441	246
GO:0033443	247
GO:0033437	248
GO:0033413	249
GO:0033444	250
GO:0033422	251
GO:0033461	252
GO:0033416	253
GO:0033408	254
GO:0033440	255
GO:0033448	256
GO:0033450	257
GO:0033420	258
GO:0033436	259
GO:0033414	260
GO:0033462	261
GO:0033459	262
GO:0033453	263
GO:0033464	264
GO:0033417	265
GO:0033412	266
GO:0033423	267
GO:0033427	268
GO:0033421	269
GO:0033452	270
GO:0033409	271
GO:0033433	272
GO:0033456	273
GO:0033439	274
GO:0033455	275
GO:0033449	276
GO:0033429	277
GO:0033401	278
GO:0033425	279
GO:0033431	280
GO:0033457	281
GO:0033434	282
GO:0033402	283
GO:0033407	284
GO:0033424	285
GO:0033403	286
GO:0140587	287
GO:0140483	288
GO:0001010	289
GO:0140767	290
GO:0005091	291
GO:0140517	292
GO:0005484	293
GO:0035591	294
GO:0140463	295
GO:0043495	296
GO:0140312	297
GO:1990644	298
GO:0001139	299
GO:0005483	300
GO:0140693	301
GO:0008093	302
GO:0140827	303
GO:0034986	304
GO:0016531	305
GO:0140713	306
GO:0140598	307
GO:0032977	308
GO:0000036	309
GO:0036370	310
GO:0005049	311
GO:0061608	312
GO:0008061	313
GO:2001079	314
GO:0032553	315
GO:0046871	316
GO:0070967	317
GO:0070095	318
GO:0070891	319
