Souce	Edge	Target	SIndex	EIndex	TIndex
GO:0005575	is_a_inverse	GO:0032991	0	1	2
GO:0005575	is_a_inverse	GO:0044423	0	1	3
GO:0005575	is_a_inverse	GO:0110165	0	1	1
GO:0110165	is_a	GO:0005575	1	0	0
GO:0110165	is_a_inverse	GO:0000242	1	1	363
GO:0110165	is_a_inverse	GO:0000399	1	1	266
GO:0110165	is_a_inverse	GO:0000407	1	1	288
GO:0110165	is_a_inverse	GO:0000785	1	1	418
GO:0110165	is_a_inverse	GO:0000800	1	1	244
GO:0110165	is_a_inverse	GO:0000801	1	1	40
GO:0110165	is_a_inverse	GO:0000802	1	1	168
GO:0110165	is_a_inverse	GO:0000922	1	1	76
GO:0110165	is_a_inverse	GO:0000943	1	1	163
GO:0110165	is_a_inverse	GO:0001400	1	1	119
GO:0110165	is_a_inverse	GO:0001650	1	1	378
GO:0110165	is_a_inverse	GO:0001651	1	1	372
GO:0110165	is_a_inverse	GO:0001652	1	1	38
GO:0110165	is_a_inverse	GO:0001750	1	1	280
GO:0110165	is_a_inverse	GO:0001772	1	1	104
GO:0110165	is_a_inverse	GO:0001891	1	1	380
GO:0110165	is_a_inverse	GO:0001917	1	1	32
GO:0110165	is_a_inverse	GO:0002139	1	1	164
GO:0110165	is_a_inverse	GO:0002177	1	1	405
GO:0110165	is_a_inverse	GO:0005576	1	1	97
GO:0110165	is_a_inverse	GO:0005615	1	1	321
GO:0110165	is_a_inverse	GO:0005621	1	1	297
GO:0110165	is_a_inverse	GO:0005622	1	1	10
GO:0110165	is_a_inverse	GO:0005630	1	1	102
GO:0110165	is_a_inverse	GO:0005631	1	1	406
GO:0110165	is_a_inverse	GO:0005632	1	1	240
GO:0110165	is_a_inverse	GO:0005652	1	1	192
GO:0110165	is_a_inverse	GO:0005654	1	1	389
GO:0110165	is_a_inverse	GO:0005657	1	1	112
GO:0110165	is_a_inverse	GO:0005702	1	1	132
GO:0110165	is_a_inverse	GO:0005706	1	1	165
GO:0110165	is_a_inverse	GO:0005712	1	1	247
GO:0110165	is_a_inverse	GO:0005713	1	1	138
GO:0110165	is_a_inverse	GO:0005726	1	1	86
GO:0110165	is_a_inverse	GO:0005737	1	1	107
GO:0110165	is_a_inverse	GO:0005815	1	1	328
GO:0110165	is_a_inverse	GO:0005821	1	1	139
GO:0110165	is_a_inverse	GO:0005822	1	1	158
GO:0110165	is_a_inverse	GO:0005823	1	1	199
GO:0110165	is_a_inverse	GO:0005824	1	1	196
GO:0110165	is_a_inverse	GO:0005825	1	1	101
GO:0110165	is_a_inverse	GO:0005829	1	1	6
GO:0110165	is_a_inverse	GO:0005930	1	1	382
GO:0110165	is_a_inverse	GO:0005933	1	1	194
GO:0110165	is_a_inverse	GO:0009295	1	1	231
