Protein	Term
Q8N3I7	GO:0060271
Q02080	GO:0007517
Q92600	GO:0033138
Q92600	GO:0017148
Q96AQ7	GO:0006915
Q99689	GO:0007411
Q99689	GO:0007399
Q9BQQ3	GO:0007030
Q5TA77	GO:0050829
Q5TA77	GO:0050830
P27144	GO:0071456
A0A087WWA1	GO:0046854
O60858	GO:0051092
O60858	GO:0051865
O60858	GO:0030433
O60858	GO:0043123
Q9BV38	GO:0006364
Q9HCJ3	GO:0000381
Q5TC63	GO:0090630
P42766	GO:0002181
Q5D1E8	GO:0010508
Q5D1E8	GO:0071356
Q5D1E8	GO:0016579
Q5D1E8	GO:0010595
Q5D1E8	GO:0098586
Q5D1E8	GO:0045766
Q5D1E8	GO:0032088
P02778	GO:0071222
P02778	GO:0007189
P02778	GO:0070098
P02778	GO:0016525
P02778	GO:0007517
Q96RI1	GO:0050728
Q96RI1	GO:0032720
Q6PGQ7	GO:0032880
Q13445	GO:0006888
Q13445	GO:0007030
O43808	GO:0006635
Q3KP66	GO:0032755
Q3KP66	GO:0043123
Q3KP66	GO:0045087
Q9P2M4	GO:0090630
P15291	GO:0006487
Q9UL33	GO:0006888
P01308	GO:0051897
P01308	GO:0030307
P01308	GO:0032880
P01308	GO:0014068
O00567	GO:0006364
Q8TDR4	GO:0000122
Q14512	GO:0008285
Q92769	GO:0030336
Q92769	GO:0030512
Q92769	GO:0000122
Q92769	GO:0016575
Q15014	GO:0016575
O15496	GO:0051607
O15496	GO:0007411
P62487	GO:0006367
P57053	GO:0006334
P57053	GO:0061844
P57053	GO:0021762
P53671	GO:0030036
Q86UP9	GO:0007605
P30926	GO:0042391
O00144	GO:0060070
O00144	GO:0007399
Q9Y2T7	GO:0007283
Q9Y2T7	GO:0006366
Q92879	GO:0000381
O00182	GO:0051092
O00182	GO:0032720
O00182	GO:0032731
O00182	GO:0032760
O00182	GO:0032729
O00182	GO:0071346
O00182	GO:1901224
O00182	GO:0070374
O00182	GO:0006954
P51589	GO:0006805
P08246	GO:0043406
P08246	GO:0000122
P08246	GO:0032757
P08246	GO:0022617
P08246	GO:0050728
Q99928	GO:0007268
P30953	GO:0007608
P16989	GO:0071356
P45984	GO:0090398
P45984	GO:0018105
Q9H1E3	GO:0000724
Q9H1E3	GO:0006275
Q9NY72	GO:0072659
Q9NY72	GO:0035725
Q15695	GO:0000398
O00175	GO:0071356
O00175	GO:0070098
O00175	GO:0001938
O00175	GO:0070374
O00175	GO:0008360
O00175	GO:0006954
O00175	GO:0071347
P05305	GO:0019722
P05305	GO:0043406
P05305	GO:0010595
P05305	GO:0000122
P05305	GO:0007204
A0A0B4J1U7	GO:0050853
A0A0B4J1U7	GO:0006958
A0A0B4J1U7	GO:0006911
A0A0B4J1U7	GO:0050871
A0A0B4J1U7	GO:0006910
A0A0B4J1U7	GO:0045087
Q14807	GO:0000278
Q14807	GO:0007080
Q14807	GO:0007018
P34903	GO:0007268
P34903	GO:0042391
Q6NTF7	GO:0051607
P21912	GO:0042776
Q9HBM6	GO:0030307
Q9HBM6	GO:0050821
Q9HBM6	GO:0000122
Q9Y5W3	GO:0000122
Q8NFH8	GO:0006897
P30305	GO:0000278
P30305	GO:0000086
Q8NHE4	GO:0016241
Q8NHE4	GO:1902600
P26583	GO:0050830
P26583	GO:0006334
P26583	GO:0071222
P26583	GO:0000122
P26583	GO:0050829
P26583	GO:0001938
Q9BSK4	GO:0050728
P05771	GO:0018105
P35548	GO:0000122
P51659	GO:0001649
Q9ULR0	GO:0000398
O14967	GO:0030433
Q8TF09	GO:0007018
Q5T4T1	GO:0090090
Q9H3K6	GO:0006879
A6NCE7	GO:0016236
A5X5Y0	GO:0007268
A5X5Y0	GO:0042391
P29466	GO:0071222
P29466	GO:0006915
P29466	GO:0032731
P29466	GO:0071260
P29466	GO:0051607
P29466	GO:0071346
P29466	GO:0050729
Q8N983	GO:0032543
B1ANY3	GO:0006470
B1ANY3	GO:0000122
Q16678	GO:0006805
P28358	GO:0045786
Q8IXB1	GO:0030433
P28223	GO:0007268
P28223	GO:0007200
P28223	GO:0007187
P28223	GO:0070374
Q9NZ72	GO:0007399
Q8IWR1	GO:0045087
Q9UID6	GO:0030307
Q9UKZ1	GO:0017148
Q86UE8	GO:0018105
P03886	GO:0006120
P03886	GO:0042776
Q8TDU9	GO:0007218
Q30KP8	GO:0050829
Q30KP8	GO:0050830
P0DMV8	GO:0051092
P0DMV8	GO:0034599
P0DMV8	GO:0008285
P0DMV8	GO:0000122
P0DMV8	GO:0032757
P0DMV8	GO:0032436
P0DMV8	GO:0050821
P0DMV8	GO:0030308
P0DMV8	GO:0030512
Q07325	GO:0071222
Q07325	GO:0070098
Q07325	GO:0061844
Q07325	GO:0006954
Q07325	GO:0006968
P32456	GO:0050830
P32456	GO:0071356
P32456	GO:0071346
P32456	GO:0071347
Q9UIR0	GO:0050852
O95238	GO:0043065
O95238	GO:0000122
Q8N9B4	GO:0051092
A8MXT2	GO:0000122
Q6ZSB9	GO:0008285
Q86V86	GO:0046777
P60602	GO:0061844
O60291	GO:0006513
P50225	GO:0006805
O15259	GO:0098609
O15259	GO:0030036
P79483	GO:0050852
Q9HBF4	GO:0016236
Q8TBK2	GO:0032088
Q5H9L4	GO:0051123
Q99956	GO:0043065
P53805	GO:0019722
Q9H6U8	GO:0006487
Q9NQB0	GO:0000122
Q9NQB0	GO:0090090
Q5TG30	GO:0051056
Q8IU85	GO:0018105
P51693	GO:0007417
P02745	GO:0006958
Q14584	GO:0000122
P62324	GO:0008285
P62324	GO:0045766
Q8IV63	GO:0018105
O60814	GO:0061844
Q9H3Q1	GO:0008360
Q9UK73	GO:0006915
P56693	GO:0000122
P04141	GO:0042531
Q9P2B4	GO:0006470
P00374	GO:0017148
O15466	GO:0005975
Q9GZY6	GO:0050853
Q9GZY6	GO:0019722
A6NND4	GO:0070374
