Protein	Term
Q9H6X2	GO:0051015
Q02080	GO:0001228
Q02080	GO:0042826
A6NMX2	GO:0003743
Q92600	GO:0042803
Q5SY68	GO:0048306
Q5SY68	GO:0005509
Q5JNZ3	GO:0000978
O60858	GO:0061630
O60858	GO:0003713
Q5TC63	GO:0005096
Q5D1E8	GO:0004843
P02778	GO:0008009
Q96RI1	GO:0000978
Q96RI1	GO:0001228
Q96RI1	GO:0004879
O43808	GO:0051087
Q96AX2	GO:0005525
Q96AX2	GO:0003924
O00482	GO:0000978
O00482	GO:0004879
Q9Y2E6	GO:0061630
Q9P2M4	GO:0005096
P15291	GO:0030145
P56975	GO:0030971
P56975	GO:0008083
Q13398	GO:0000978
Q96LA5	GO:0019903
P01308	GO:0005179
O00567	GO:0045296
Q16769	GO:0008270
Q8TDR4	GO:0043621
Q9NVS9	GO:0042803
Q92769	GO:0042826
Q92769	GO:0061629
Q9UGF7	GO:0004984
O15496	GO:0005509
P62487	GO:0003697
P49356	GO:0008270
Q96T51	GO:0017124
Q96I24	GO:0003697
P30926	GO:1904315
O00144	GO:0046982
O00144	GO:0042803
Q13352	GO:0008022
P51589	GO:0004497
P08246	GO:0004252
Q99928	GO:0005231
Q99928	GO:0005254
P30953	GO:0004984
Q8NCK3	GO:0000978
Q8NCK3	GO:0001228
O43291	GO:0004867
Q9H1E3	GO:0003713
Q9H1E3	GO:0003697
Q9NY72	GO:0044325
O00175	GO:0008009
P0CG23	GO:0000978
Q9H0P0	GO:0000287
P05305	GO:0005179
A0A0B4J1U7	GO:0034987
Q14807	GO:0008017
O43448	GO:0044325
P36915	GO:0005525
P34903	GO:0005231
P34903	GO:1904315
P34903	GO:0005254
Q9Y5W3	GO:0000978
P30305	GO:0004725
A8MV72	GO:0048306
A8MV72	GO:0005509
P26583	GO:0003684
P26583	GO:0003713
Q86U90	GO:0000049
Q15814	GO:0003924
Q15814	GO:0051087
Q9BSK4	GO:1990756
Q9H7E2	GO:0035064
Q9H7E2	GO:0003713
P51659	GO:0042803
O14967	GO:0005509
A6NCE7	GO:0008017
A6NCE7	GO:0031625
Q8NEA6	GO:0000978
P14061	GO:0042803
P35236	GO:0004725
P22304	GO:0005509
P29466	GO:0004197
P53365	GO:0031267
P53365	GO:0005525
P53365	GO:0045296
P38646	GO:0031625
P38646	GO:0051082
P38646	GO:0005524
Q16678	GO:0004497
Q16678	GO:0020037
P61221	GO:0005524
Q8IXB1	GO:0051087
P01889	GO:0051087
Q14449	GO:0030971
Q8IWR1	GO:0061630
Q96K62	GO:0000978
Q96K62	GO:0001227
Q9UID6	GO:0000978
Q9UID6	GO:0043621
Q9UID6	GO:0001228
P29401	GO:0042803
P29401	GO:0005509
P29401	GO:0000287
Q86UE8	GO:0005524
P03886	GO:0008137
O15273	GO:0044325
