Protein	Term
Q8N3I7	GO:0036064
Q9H6X2	GO:0005886
Q92600	GO:0000932
Q99689	GO:0030424
Q99689	GO:0005794
Q9BQQ3	GO:0005794
Q9BQQ3	GO:0000139
Q9BQQ3	GO:0005801
Q6ISS4	GO:0005886
Q9NUQ2	GO:0005635
Q9NUQ2	GO:0005741
Q9NUQ2	GO:0005730
Q9NUQ2	GO:0005789
Q9NUQ2	GO:0005739
P27144	GO:0005759
P27144	GO:0005739
O60858	GO:0005789
P07357	GO:0070062
Q8TAQ9	GO:0005635
Q9HCU0	GO:0009897
Q9HCU0	GO:0070062
P42766	GO:0005730
P42766	GO:0022625
P42766	GO:0022626
Q5D1E8	GO:0000932
Q9Y2P8	GO:0005730
P00403	GO:0005743
P00403	GO:0005739
Q9C0F1	GO:0005813
Q9C0F1	GO:0005814
Q13445	GO:0005783
Q13445	GO:0005794
Q13445	GO:0005793
O43808	GO:0005777
Q96AX2	GO:0005794
Q96AX2	GO:0005793
Q96AX2	GO:0035577
Q96AX2	GO:0035579
Q96AX2	GO:0005886
Q9NVF7	GO:0000776
O00482	GO:0090575
P62955	GO:0005886
O00400	GO:0005887
O00400	GO:0000139
Q9P2M4	GO:0055037
Q9P2M4	GO:0005794
Q9P2M4	GO:0005776
P15291	GO:0005794
P15291	GO:0035577
P15291	GO:0009897
P15291	GO:0070062
P15291	GO:0005886
P15291	GO:0016323
Q8NEA5	GO:0070062
P56975	GO:0005887
Q96LA5	GO:0005887
P01308	GO:0033116
P01308	GO:0005796
O00567	GO:0005730
Q16769	GO:1904813
Q16769	GO:0035580
Q16769	GO:0070062
Q9Y5X5	GO:0005887
Q9Y5X5	GO:0015629
Q9Y5X5	GO:0005886
Q7Z3Q1	GO:0070062
P30419	GO:0005886
Q15014	GO:0005730
Q15014	GO:0000786
Q15014	GO:0005886
O00629	GO:0031965
Q9Y6X5	GO:0101003
Q9Y6X5	GO:0070062
Q9Y6X5	GO:0005886
P62487	GO:0000932
Q86SU0	GO:0005886
Q8WXI8	GO:0101003
Q8WXI8	GO:0035579
Q8WXI8	GO:0070821
Q8WXI8	GO:0009897
Q8WXI8	GO:0005886
P42025	GO:0015630
P42025	GO:1904813
P42025	GO:0070062
P42025	GO:0005813
P53671	GO:0072686
Q96T51	GO:0031901
Q96T51	GO:0016607
A6NL88	GO:0014069
Q15005	GO:0005789
Q86UP9	GO:0005886
P30926	GO:0005887
P30926	GO:0070821
P30926	GO:0035579
P30926	GO:0005886
P0DME0	GO:0005811
Q5TC12	GO:0005739
O00144	GO:0005886
Q9P0N8	GO:0005783
Q9P0N8	GO:0005886
Q13442	GO:1904813
Q13442	GO:0005886
O00182	GO:0062023
P51589	GO:0005789
P51589	GO:0070062
P08246	GO:0017053
P08246	GO:0062023
P08246	GO:0035578
P08246	GO:0070062
P08246	GO:0035580
Q99928	GO:0005887
P30953	GO:0005886
Q7LFX5	GO:0000139
Q504Y0	GO:0005887
P45984	GO:0016607
O43291	GO:0005886
P04201	GO:0005887
P04201	GO:0005886
Q86T26	GO:0070062
Q86T26	GO:0005886
Q8WWT9	GO:0070062
Q8WWT9	GO:0016323
Q8WWT9	GO:0005886
Q9H1E3	GO:0005730
Q8IZA3	GO:0070062
Q9NY72	GO:0005886
Q9Y6D9	GO:0005635
Q9Y6D9	GO:0000776
Q96MU8	GO:0005886
Q99519	GO:0070062
Q99519	GO:0035580
Q99519	GO:0043202
Q99519	GO:0005764
Q9H0P0	GO:0005783
A0A0B4J1U7	GO:0009897
A0A0B4J1U7	GO:0042571
Q14807	GO:0016607
Q14807	GO:0000776
O43448	GO:0008076
O43448	GO:0005886
A6NKF1	GO:0005813
P34903	GO:0005887
P34903	GO:0005886
P52292	GO:0098978
Q6NTF7	GO:0000932
P21912	GO:0005743
P21912	GO:0005886
P30305	GO:0005813
Q5TEU4	GO:0005743
Q86U90	GO:0005739
Q86W47	GO:0005887
Q86W47	GO:0005886
Q9BSK4	GO:0005739
Q5VZE5	GO:0005886
Q9NWQ9	GO:0005739
P05771	GO:0070062
P05771	GO:0005886
Q9H7E2	GO:0005794
P51659	GO:0005782
P51659	GO:0005777
Q9ULR0	GO:0071013
Q9H649	GO:0005759
Q9H649	GO:0005739
Q96IJ6	GO:0070062
O00189	GO:0005802
O00189	GO:0070062
O00189	GO:0032588
P43004	GO:0005887
P43004	GO:0005886
P13489	GO:0070062
Q8TF09	GO:0005813
Q5T4T1	GO:0005886
P05156	GO:0070062
Q8IYR0	GO:0036064
Q9Y227	GO:0005794
Q9Y227	GO:0030173
Q9Y227	GO:0000139
Q6IC98	GO:0005739
Q86WB0	GO:0031965
A5X5Y0	GO:0005887
A5X5Y0	GO:0005886
Q643R3	GO:0005783
Q643R3	GO:0005789
P35236	GO:0015630
P35236	GO:0072686
P22304	GO:0043202
P22304	GO:0005764
P29466	GO:0005730
Q8N983	GO:0005743
Q8N983	GO:0005739
Q12999	GO:0005887
P53365	GO:0032588
P53365	GO:0005886
P38646	GO:0005925
P38646	GO:0042645
P38646	GO:0070062
P38646	GO:0005759
P38646	GO:0005743
P56277	GO:0005739
Q16678	GO:0005789
P61221	GO:0005759
P61221	GO:0005739
Q8IXB1	GO:0005783
P19105	GO:0070062
P01889	GO:0005794
P01889	GO:0012507
P01889	GO:0005887
P01889	GO:0000139
P01889	GO:0031901
P01889	GO:0055038
P01889	GO:0070062
P28223	GO:0005887
P28223	GO:0030425
P28223	GO:0005886
Q9NZ72	GO:0005794
Q502W7	GO:0005813
Q14449	GO:0005886
P17516	GO:0070062
P29401	GO:0005789
P29401	GO:0070062
Q9GZT3	GO:0005739
Q6ZMI0	GO:0005769
O60725	GO:0005783
O60725	GO:0005789
P03886	GO:0005743
Q8TDU9	GO:0005887
Q8TDU9	GO:0005886
P0DMV8	GO:0005814
P0DMV8	GO:0005925
P0DMV8	GO:0005813
P0DMV8	GO:1904813
P0DMV8	GO:0070062
P0DMV8	GO:0005886
P0DMV8	GO:0016607
P0DMV8	GO:0005739
P32456	GO:0005794
Q9UIR0	GO:0005886
Q9NNX6	GO:0009897
Q9NNX6	GO:0005886
P62166	GO:0005886
O95502	GO:0098978
Q6ZSB9	GO:0015630
Q9BSR8	GO:0005794
Q9BSR8	GO:0005802
Q9BSR8	GO:0005886
Q7L5D6	GO:0005694
P17858	GO:1904813
P17858	GO:0070062
Q6DKI7	GO:0005886
P60602	GO:0005743
P60602	GO:0005739
Q8NGI6	GO:0005887
O60291	GO:0005783
O60291	GO:0005769
O60291	GO:0070062
O60291	GO:0005886
Q8N0T1	GO:0005730
Q9NQQ7	GO:0005794
Q9NQQ7	GO:0005793
Q9NQQ7	GO:0005801
P79483	GO:0012507
P79483	GO:0005887
P79483	GO:0000139
P79483	GO:0005886
P79483	GO:0031902
P22061	GO:0070062
Q9HBF4	GO:0005811
Q9HBF4	GO:0005739
Q9HBF4	GO:0005783
Q9HBF4	GO:0005789
Q9HBF4	GO:0005776
O43889	GO:0005783
O43889	GO:0090575
O43889	GO:0000139
Q9H6U8	GO:0005789
Q92572	GO:0005769
Q8IU99	GO:0005887
P16471	GO:0009897
P16471	GO:0005886
Q14117	GO:0070062
P51693	GO:0005794
P51693	GO:0005886
P02745	GO:0062023
P30519	GO:0005789
P30519	GO:0035579
P30519	GO:0005886
O75563	GO:0005886
Q9NZ01	GO:0005783
Q9NZ01	GO:0005789
O60683	GO:0005777
P03999	GO:0005887
O43715	GO:0005758
O43715	GO:0005739
Q8IV63	GO:0005730
B6A8C7	GO:0070821
B6A8C7	GO:0035579
